Immobilienart;Region;Zeitabschnitt;Anzahl_Mittel;Index_final
gebrauchte Eigenheime;4102;2015_2;255,5;115,530291
gebrauchte Eigenheime;4102;2015_3;224,5;116,7658922
gebrauchte Eigenheime;4102;2015_4;229,5;117,397942
gebrauchte Eigenheime;4102;2016_1;228;118,9759943
gebrauchte Eigenheime;4102;2016_2;223;121,0003389
gebrauchte Eigenheime;4102;2016_3;213;121,7066798
gebrauchte Eigenheime;4102;2016_4;219;122,076795
gebrauchte Eigenheime;4102;2017_1;251;123,3393856
gebrauchte Eigenheime;4102;2017_2;252;126,760895
gebrauchte Eigenheime;4102;2017_3;305;129,0256332
gebrauchte Eigenheime;4102;2017_4;273;131,0883689
gebrauchte Eigenheime;4102;2018_1;259;132,9150804
gebrauchte Eigenheime;4102;2018_2;278;135,7934416
gebrauchte Eigenheime;4102;2018_3;300;136,3711315
gebrauchte Eigenheime;4102;2018_4;159;
gebrauchte Eigenheime;4102;2019_1;;
gebrauchte Eigenheime;4102;2019_2;;
gebrauchte Eigenheime;4102;2019_3;;
gebrauchte Eigenheime;4102;2019_4;;
gebrauchte Eigenheime;4102;2020_1;;
gebrauchte Eigenheime;4102;2020_2;;
gebrauchte Eigenheime;4102;2020_3;;
gebrauchte Eigenheime;4102;2020_4;;
gebrauchte Eigenheime;4102;2021_1;;
gebrauchte Eigenheime;4102;2021_2;;
gebrauchte Eigenheime;4102;2021_3;;
gebrauchte Eigenheime;4102;2021_4;;
gebrauchte Eigenheime;4103;2000_1;161;
gebrauchte Eigenheime;4103;2000_2;157;106,0827504
gebrauchte Eigenheime;4103;2000_3;161;104,0118087
gebrauchte Eigenheime;4103;2000_4;176;102,4031653
gebrauchte Eigenheime;4103;2001_1;159;102,9638172
gebrauchte Eigenheime;4103;2001_2;201;103,1384441
gebrauchte Eigenheime;4103;2001_3;207;103,3180969
gebrauchte Eigenheime;4103;2001_4;190;103,5860274
gebrauchte Eigenheime;4103;2002_1;181;103,361327
gebrauchte Eigenheime;4103;2002_2;221;103,00087
gebrauchte Eigenheime;4103;2002_3;215;102,5640455
gebrauchte Eigenheime;4103;2002_4;295;103,1073904
gebrauchte Eigenheime;4103;2003_1;155;103,5526483
gebrauchte Eigenheime;4103;2003_2;179;102,6345695
gebrauchte Eigenheime;4103;2003_3;209;102,338831
gebrauchte Eigenheime;4103;2003_4;292;102,8614555
gebrauchte Eigenheime;4103;2004_1;133;102,7304268
gebrauchte Eigenheime;4103;2004_2;173;100,7026534
gebrauchte Eigenheime;4103;2004_3;165;99,54804672
gebrauchte Eigenheime;4103;2004_4;231;100,273727
gebrauchte Eigenheime;4103;2005_1;149,5;102,3960044
gebrauchte Eigenheime;4103;2005_2;205;104,0767267
gebrauchte Eigenheime;4103;2005_3;182;102,4917419
gebrauchte Eigenheime;4103;2005_4;403,5;100,5997307
gebrauchte Eigenheime;4103;2006_1;112,5;100,1904745
gebrauchte Eigenheime;4103;2006_2;172,5;100,5862913
gebrauchte Eigenheime;4103;2006_3;189;99,43356177
gebrauchte Eigenheime;4103;2006_4;204,5;98,93785618
gebrauchte Eigenheime;4103;2007_1;209,5;99,21720471
gebrauchte Eigenheime;4103;2007_2;229,5;98,63140267
gebrauchte Eigenheime;4103;2007_3;235,5;97,85567756
gebrauchte Eigenheime;4103;2007_4;199,5;97,57746225
gebrauchte Eigenheime;4103;2008_1;242;98,27719758
gebrauchte Eigenheime;4103;2008_2;254;98,63490963
gebrauchte Eigenheime;4103;2008_3;281;97,54780631
gebrauchte Eigenheime;4103;2008_4;230;96,6822173
gebrauchte Eigenheime;4103;2009_1;217;97,60883946
gebrauchte Eigenheime;4103;2009_2;232;98,37715477
gebrauchte Eigenheime;4103;2009_3;228;98,74232644
gebrauchte Eigenheime;4103;2009_4;216;99,50574074
gebrauchte Eigenheime;4103;2010_1;240;100
gebrauchte Eigenheime;4103;2010_2;257,3333333;101,4065084
gebrauchte Eigenheime;4103;2010_3;252;103,5254639
gebrauchte Eigenheime;4103;2010_4;288;104,8965137
gebrauchte Eigenheime;4103;2011_1;202,5;105,8250354
gebrauchte Eigenheime;4103;2011_2;255,5;106,5414148
gebrauchte Eigenheime;4103;2011_3;282;106,5128914
gebrauchte Eigenheime;4103;2011_4;279,5;107,1710859
gebrauchte Eigenheime;4103;2012_1;293;109,47204
gebrauchte Eigenheime;4103;2012_2;355,5;110,7791253
gebrauchte Eigenheime;4103;2012_3;324,5;111,8157041
gebrauchte Eigenheime;4103;2012_4;301,5;114,4259553
gebrauchte Eigenheime;4103;2013_1;269;116,6507346
gebrauchte Eigenheime;4103;2013_2;355,5;117,48654
gebrauchte Eigenheime;4103;2013_3;339;118,0540042
gebrauchte Eigenheime;4103;2013_4;336,5;117,997607
gebrauchte Eigenheime;4103;2014_1;261;118,3111675
gebrauchte Eigenheime;4103;2014_2;279;121,2231868
gebrauchte Eigenheime;4103;2014_3;283,5;123,3709846
gebrauchte Eigenheime;4103;2014_4;298,5;121,9756695
gebrauchte Eigenheime;4103;2015_1;261,5;122,3446663
gebrauchte Eigenheime;4103;2015_2;305,5;126,8047213
gebrauchte Eigenheime;4103;2015_3;285,5;129,5388428
gebrauchte Eigenheime;4103;2015_4;285,5;130,5148862
gebrauchte Eigenheime;4103;2016_1;259;132,2876765
gebrauchte Eigenheime;4103;2016_2;260;135,6677493
gebrauchte Eigenheime;4103;2016_3;242;139,585526
gebrauchte Eigenheime;4103;2016_4;279;141,2408194
gebrauchte Eigenheime;4103;2017_1;250;141,041078
gebrauchte Eigenheime;4103;2017_2;253;144,6842762
gebrauchte Eigenheime;4103;2017_3;295;148,5275949
gebrauchte Eigenheime;4103;2017_4;282;149,682565
gebrauchte Eigenheime;4103;2018_1;238;150,3289032
gebrauchte Eigenheime;4103;2018_2;332;152,5342681
gebrauchte Eigenheime;4103;2018_3;308;157,4787965
gebrauchte Eigenheime;4103;2018_4;218;
gebrauchte Eigenheime;4103;2019_1;;
gebrauchte Eigenheime;4103;2019_2;;
gebrauchte Eigenheime;4103;2019_3;;
gebrauchte Eigenheime;4103;2019_4;;
gebrauchte Eigenheime;4103;2020_1;;
gebrauchte Eigenheime;4103;2020_2;;
gebrauchte Eigenheime;4103;2020_3;;
gebrauchte Eigenheime;4103;2020_4;;
gebrauchte Eigenheime;4103;2021_1;;
gebrauchte Eigenheime;4103;2021_2;;
gebrauchte Eigenheime;4103;2021_3;;
gebrauchte Eigenheime;4103;2021_4;;
